SampleID,Samples,IonXpress,PlateNr,Diet,Timepoint,Collection,Target
01C_Bac,01C_Bac,IonXpress_003,Plate_47,Cotton,4 months,Claudelands,Bacteria
06C_Bac,06C_Bac,IonXpress_037,Plate_47,Cotton,4 months,Claudelands,Bacteria
37C_Bac,37C_Bac,IonXpress_050,Plate_47,Cotton,4 months,Claudelands,Bacteria
38C_Bac,38C_Bac,IonXpress_051,Plate_47,Cotton,4 months,Claudelands,Bacteria
TAC_Bac,TAC_Bac,IonXpress_053,Plate_47,Cotton,4 months,Hillcrest,Bacteria
01P_Bac,01P_Bac,IonXpress_056,Plate_47,Cotton-to-Pine,8 months,Claudelands,Bacteria
06P_Bac,06P_Bac,IonXpress_012,Plate_47,Cotton-to-Pine,8 months,Claudelands,Bacteria
37P_Bac,37P_Bac,IonXpress_089,Plate_49,Cotton-to-Pine,8 months,Claudelands,Bacteria
38P_Bac,38P_Bac,IonXpress_072,Plate_49,Cotton-to-Pine,8 months,Claudelands,Bacteria
TAP_Bac,TAP_Bac,IonXpress_021,Plate_49,Cotton-to-Pine,8 months,Hillcrest,Bacteria
20P_Bac,20P_Bac,IonXpress_064,Plate_49,Pine,4 months,Claudelands,Bacteria
24P_Bac,24P_Bac,IonXpress_017,Plate_49,Pine,4 months,Claudelands,Bacteria
41P_Bac,41P_Bac,IonXpress_090,Plate_49,Pine,4 months,Claudelands,Bacteria
42P_Bac,42P_Bac,IonXpress_078,Plate_49,Pine,4 months,Claudelands,Bacteria
20C_Bac,20C_Bac,IonXpress_040,Plate_47,Pine-to-Cotton,8 months,Claudelands,Bacteria
24C_Bac,24C_Bac,IonXpress_044,Plate_47,Pine-to-Cotton,8 months,Claudelands,Bacteria
41C_Bac,41C_Bac,IonXpress_010,Plate_47,Pine-to-Cotton,8 months,Claudelands,Bacteria
42C_Bac,42C_Bac,IonXpress_055,Plate_47,Pine-to-Cotton,8 months,Claudelands,Bacteria
