SampleID,Samples,IonXpress,PlateNr,Diet,Timepoint,Collection,Target
01C_F,01C_F,IonXpress_018,Plate_47,Cotton,4 months,Claudelands,Fungi
06C_F,06C_F,IonXpress_022,Plate_47,Cotton,4 months,Claudelands,Fungi
37C_F,37C_F,IonXpress_029,Plate_47,Cotton,4 months,Claudelands,Fungi
38C_F,38C_F,IonXpress_030,Plate_47,Cotton,4 months,Claudelands,Fungi
TAC_F,TAC_F,IonXpress_039,Plate_47,Cotton,4 months,Hillcrest,Fungi
01P_F,01P_F,IonXpress_018,Plate_49,Cotton-to-Pine,8 months,Claudelands,Fungi
06P_F,06P_F,IonXpress_022,Plate_49,Cotton-to-Pine,8 months,Claudelands,Fungi
37P_F,37P_F,IonXpress_029,Plate_49,Cotton-to-Pine,8 months,Claudelands,Fungi
38P_F,38P_F,IonXpress_030,Plate_49,Cotton-to-Pine,8 months,Claudelands,Fungi
TAP_F,TAP_F,IonXpress_039,Plate_49,Cotton-to-Pine,8 months,Hillcrest,Fungi
20P_F,20P_F,IonXpress_025,Plate_49,Pine,4 months,Claudelands,Fungi
24P_F,24P_F,IonXpress_026,Plate_49,Pine,4 months,Claudelands,Fungi
41P_F,41P_F,IonXpress_032,Plate_49,Pine,4 months,Claudelands,Fungi
42P_F,42P_F,IonXpress_033,Plate_49,Pine,4 months,Claudelands,Fungi
20C_F,20C_F,IonXpress_025,Plate_47,Pine-to-Cotton,8 months,Claudelands,Fungi
24C_F,24C_F,IonXpress_026,Plate_47,Pine-to-Cotton,8 months,Claudelands,Fungi
41C_F,41C_F,IonXpress_032,Plate_47,Pine-to-Cotton,8 months,Claudelands,Fungi
42C_F,42C_F,IonXpress_033,Plate_47,Pine-to-Cotton,8 months,Claudelands,Fungi
